,categories
0,Abstract Strategy
1,Action / Dexterity
2,Adventure
3,Age of Reason
4,American Civil War
5,American Indian Wars
6,American Revolutionary War
7,American West
8,Ancient
9,Animals
10,Arabian
11,Aviation / Flight
12,Bluffing
13,Book
14,Card Game
15,Children's Game
16,City Building
17,Civil War
18,Civilization
19,Collectible Components
20,Comic Book / Strip
21,Deduction
22,Dice
23,Economic
24,Educational
25,Electronic
26,Environmental
27,Expansion for Base-game
28,Exploration
29,Fan Expansion
30,Fantasy
31,Farming
32,Fighting
33,Game System
34,Horror
35,Humor
36,Industry / Manufacturing
37,Korean War
38,Mafia
39,Math
40,Mature / Adult
41,Maze
42,Medical
43,Medieval
44,Memory
45,Miniatures
46,Modern Warfare
47,Movies / TV / Radio theme
48,Murder/Mystery
49,Music
50,Mythology
51,Napoleonic
52,Nautical
53,Negotiation
54,Novel-based
55,Number
56,Party Game
57,Pike and Shot
58,Pirates
59,Political
60,Post-Napoleonic
61,Prehistoric
62,Print & Play
63,Puzzle
64,Racing
65,Real-time
66,Religious
67,Renaissance
68,Science Fiction
69,Space Exploration
70,Spies/Secret Agents
71,Sports
72,Territory Building
73,Trains
74,Transportation
75,Travel
76,Trivia
77,Video Game Theme
78,Vietnam War
79,Wargame
80,Word Game
81,World War I
82,World War II
83,Zombies
